Ticker;Type;Nb_Lignes;Date_Min;Date_Max;Dernier_Cours
ABJC.ci;Action;3560;2008-01-04;2026-05-07;3020,0
BICB.bj;Action;267;2025-04-28;2026-05-07;5120,0
BICC.ci;Action;3421;2008-01-03;2026-05-07;25200,0
BNBC.ci;Action;3047;2008-01-07;2026-05-07;1335,0
BOABF.bf;Action;3448;2011-01-03;2026-05-07;5400,0
BOAB.bj;Action;4060;2008-01-16;2026-05-07;9300,0
BOAC.ci;Action;3542;2010-04-12;2026-05-07;8650,0
BOAM.ml;Action;2529;2016-05-31;2026-05-07;4690,0
BOAN.ne;Action;3929;2008-01-02;2026-05-07;3500,0
BOAS.sn;Action;2919;2014-12-10;2026-05-07;7265,0
CABC.ci;Action;3136;2008-02-12;2026-05-07;3400,0
CBIBF.bf;Action;2289;2016-12-23;2026-05-07;16600,0
CFAC.ci;Action;3131;2008-01-02;2026-05-07;1400,0
CIEC.ci;Action;4262;2008-01-02;2026-05-07;3345,0
ECOC.ci;Action;2156;2017-12-12;2026-05-07;16300,0
ETIT.tg;Action;2953;2014-07-11;2026-05-07;30,0
FTSC.ci;Action;4130;2008-01-07;2026-05-07;2200,0
LNBB.bj;Action;362;2024-12-13;2026-05-07;3945,0
NEIC.ci;Action;2273;2008-06-09;2026-05-07;1745,0
NSBC.ci;Action;2134;2017-10-24;2026-05-07;14000,0
NTLC.ci;Action;3126;2008-01-08;2026-05-07;11700,0
ONTBF.bf;Action;3916;2009-04-30;2026-05-07;2775,0
ORAC.ci;Action;871;2022-12-30;2026-05-07;14900,0
ORGT.tg;Action;1696;2019-04-16;2026-05-07;2755,0
PALC.ci;Action;2859;2014-07-11;2026-05-07;7900,0
PRSC.ci;Action;2139;2008-01-11;2026-05-07;3695,0
SAFC.ci;Action;1341;2018-07-19;2026-05-07;3500,0
SCRC.ci;Action;2366;2016-12-29;2026-05-07;2240,0
SDCC.ci;Action;3655;2008-01-02;2026-05-07;8900,0
SDSC.ci;Action;3647;2008-01-02;2026-05-07;1800,0
SEMC.ci;Action;91;2025-11-07;2026-05-07;1525,0
SGBC.ci;Action;4143;2008-01-02;2026-05-07;33800,0
SHEC.ci;Action;3961;2008-01-02;2026-05-07;1895,0
SIBC.ci;Action;2440;2016-10-27;2026-05-07;7150,0
SICC.ci;Action;1600;2008-01-18;2026-05-07;4300,0
SIVC.ci;Action;3737;2008-01-02;2026-05-07;2850,0
SLBC.ci;Action;2368;2008-01-03;2026-05-07;37500,0
SMBC.ci;Action;3116;2008-01-03;2026-05-07;11900,0
SNTS.sn;Action;4622;2008-01-02;2026-05-07;28900,0
SOGC.ci;Action;4101;2008-01-04;2026-05-07;7400,0
SPHC.ci;Action;4265;2008-01-03;2026-05-07;7100,0
STAC.ci;Action;2194;2008-05-02;2026-05-07;2845,0
STBC.ci;Action;3269;2008-01-02;2026-05-07;21000,0
TTLC.ci;Action;3640;2008-01-03;2026-05-07;2720,0
TTLS.sn;Action;2721;2015-02-20;2026-05-07;3000,0
UNLC.ci;Action;1735;2010-08-09;2026-05-07;59000,0
UNXC.ci;Action;3358;2008-01-04;2026-05-07;1815,0
BRVM30;Indice;872;2023-01-01;2026-05-07;190,43
BRVMC;Indice;4679;2008-01-02;2026-05-07;403,46
BRVMPA;Indice;869;2023-01-04;2026-05-07;280,69
BRVMPR;Indice;872;2023-01-01;2026-05-07;157,66
BRVM.CB;Indice;348;2025-01-02;2026-05-07;261,95
BRVM.CD;Indice;348;2025-01-02;2026-05-07;173,79
BRVM.EN;Indice;348;2025-01-02;2026-05-07;135,59
BRVM.IN;Indice;348;2025-01-02;2026-05-07;187,43
BRVM.SF;Indice;348;2025-01-02;2026-05-07;178,46
BRVM.TEL;Indice;348;2025-01-02;2026-05-07;102,52
CAPIBRVM;Indice;1635;2020-01-02;2026-05-07;15544580,0
SIKAIDX;Indice;2364;2017-01-02;2026-05-07;118,22
SIKATR;Indice;1843;2019-03-31;2026-05-07;417,69
