Ticker,Équipondéré,Capi-pondéré,Free-float pondéré,Inverse de la volatilité,Tracking error min (vs indice),Sharpe maximal
ABJC.ci,0.066667,0.008277,0.006276,0.051211,0.022346,0.047868
BOAB.bj,0.066667,0.092607,0.156979,0.086012,0.062088,0.116379
BNBC.ci,0.066667,0.002449,0.003020,0.042704,0.020512,0.014419
BOABF.bf,0.066667,0.061251,0.067607,0.079180,0.080246,0.024290
BOAC.ci,0.066667,0.096221,0.100294,0.093055,0.137004,0.140282
BOAN.ne,0.066667,0.019250,0.029587,0.073504,0.035393,0.000000
BOAM.ml,0.066667,0.032893,0.026750,0.066735,0.041815,0.146491
CBIBF.bf,0.066667,0.132578,0.100575,0.084287,0.107400,0.078876
CFAC.ci,0.066667,0.066127,0.010334,0.052186,0.063745,0.033689
BOAS.sn,0.066667,0.065167,0.074130,0.072011,0.040132,0.083246
CABC.ci,0.066667,0.005517,0.010190,0.044027,0.022078,0.065952
CIEC.ci,0.066667,0.045474,0.053384,0.075279,0.094201,0.060327
ECOC.ci,0.066667,0.225974,0.175196,0.086044,0.155432,0.131580
FTSC.ci,0.066667,0.007893,0.010023,0.044376,0.034949,0.014932
ETIT.tg,0.066667,0.138321,0.175655,0.049391,0.082658,0.041670
